ImageId,EncodedPixels
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,23359 9 23876 14 24395 15 24913 17 25432 18 25951 20 26470 20 26989 20 27508 21 28027 21 28546 21 29065 22 29584 23 30103 23 30622 23 31141 23 31660 23 32179 24 32698 24 33217 23 33737 23 34256 22 34775 22 35294 21 35814 20 36334 18 36854 17 37375 14 37897 8
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,108478 4 108994 10 109512 13 110030 15 110549 16 111068 16 111586 19 112105 20 112624 20 113143 20 113662 20 114181 21 114700 21 115219 21 115738 21 116257 22 116776 22 117295 22 117814 22 118333 23 118852 23 119371 22 119890 22 120409 21 120928 21 121447 20 121966 19 122485 17 123004 13 123523 11 124043 8 124562 7 125081 7 125600 6 126119 6 126638 6 127157 6 127676 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,45183 8 45700 12 46218 15 46736 17 47255 18 47773 20 48292 20 48811 21 49330 21 49849 21 50368 21 50887 21 51406 22 51925 22 52444 23 52963 23 53482 22 54001 23 54521 22 55040 22 55559 22 56078 22 56597 21 57116 21 57635 20 58154 20 58673 20 59192 19 59711 19 60231 17 60751 15 61272 12 61792 10 62315 1
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,71157 9 71673 14 72191 16 72709 19 73226 23 73745 23 74263 25 74782 27 75301 28 75820 28 76340 27 76860 27 77380 27 77899 28 78419 27 78939 27 79459 26 79979 25 80499 24 81019 22 81539 21 82058 20 82577 20 83094 22 83612 23 84130 25 84648 27 85166 30 85685 31 86204 32 86723 32 87242 32 87761 33 88281 33 88801 32 89321 32 89841 31 90361 30 90882 28 91403 27 91924 25 92445 23 92966 21 93453 8 93487 20 93969 13 94007 20 94487 16 94526 22 95006 17 95045 23 95524 19 95564 24 96042 21 96082 26 96561 21 96598 30 97080 22 97112 36 97599 24 97625 42 98118 69 98638 69 99157 70 99676 70 100196 69 100715 69 101234 69 101754 69 102274 68 102794 67 103314 65 103833 46 103881 17 104352 44 104401 16 104871 17 104895 18 104920 16 105389 17 105415 17 105440 14 105907 18 105935 15 105961 11 106425 19 106457 10 106481 9 106944 19 107001 6 107463 20 107518 10 107981 21 108035 13 108500 21 108553 16 109019 22 109071 17 109538 23 109589 19 110057 24 110107 20 110577 23 110626 20 111096 23 111144 21 111616 23 111663 21 112136 22 112182 21 112656 21 112702 20 113175 21 113221 21 113694 21 113741 20 114214 20 114261 19 114733 19 114780 20 115252 19 115300 20 115772 18 115820 25 116292 17 116340 29 116812 14 116861 30 117332 12 117383 29 117853 9 117906 26 118374 5 118426 27 118945 28 119464 29 119983 30 120502 31 121020 33 121539 33 122057 34 122575 36 123094 36 123612 37 124131 37 124650 37 125169 37 125688 37 126208 36 126727 36 127248 34 127769 32 128293 27 128814 25 129333 25 129853 23 130373 22 130895 16
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,125654 6 126170 13 126687 16 127205 19 127723 20 128242 21 128761 22 129279 24 129798 25 130318 24 130839 20
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,21860 7 22376 14 22894 17 23412 20 23931 22 24450 24 24969 25 25488 26 26007 27 26526 28 27045 29 27564 29 28083 29 28603 28 29122 28 29641 28 30160 28 30680 27 31200 26 31721 23 32241 22 32762 17 33283 14 33807 1
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,55608 7 56125 12 56642 15 57160 17 57679 19 58198 20 58717 20 59236 21 59755 21 60274 22 60793 23 61312 24 61831 24 62350 24 62869 25 63388 25 63907 25 64427 24 64947 23 65467 22 65986 22 66506 22 67025 22 67545 21 68064 20 68585 18 69105 16 69626 13 70148 7
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,78 15 595 21 1114 22 1633 22 2153 21 2672 21 3191 23 3709 25 4228 26 4746 28 5264 30 5783 31 6301 34 6820 35 7338 37 7857 38 8375 40 8894 41 9413 41 9932 43 10451 44 10970 20 10993 23 11489 18 11515 22 12009 16 12034 23 12529 14 12554 26 13048 13 13073 29 13115 3 13568 11 13593 29 13633 4 14089 6 14112 32 14151 6 14632 53 15152 53 15672 53 16192 54 16711 55 17231 55 17752 53 18271 54 18790 55 19310 55 19829 56 20349 56 20869 57 21389 56 21909 55 22428 56 22949 54 23469 54 23989 53 24510 52 25030 52 25550 52 26070 51 26591 50 27110 51 27630 50 28149 53 28668 57 29188 56 29707 54 30227 52 30747 51 31267 50 31787 49 32307 48 32828 47 33348 47 33868 47 34388 52 34908 51 35427 51 35947 50 36466 50 36986 50 37506 50 38026 50 38545 52 39065 52 39586 51 40107 50 40627 50 41147 50 41667 49 42187 48 42707 47 43227 47 43747 47 44266 48 44786 47 45305 48 45825 48 46345 47 46865 47 47384 48 47903 48 48422 48 48941 49 49460 49 49979 50 50492 56 51008 60 51525 63 52043 65 52562 65 53080 68 53599 69 54117 71 54636 71 55156 71 55675 73 56194 74 56714 75 57234 76 57756 13 57772 60 58278 4 58294 60 58815 60 59335 61 59854 62 60374 61 60894 61 61413 61 61932 62 62451 62 62971 61 63490 62 64009 61 64529 61 65049 60 65568 60 66088 59 66607 59 67126 58 67646 57 68165 57 68685 57 69204 57 69723 58 70242 58 70760 59 71278 60 71797 61 72315 63 72834 65 73352 67 73871 67 74389 69 74908 70 75427 71 75946 71 76465 71 76984 71 77503 71 78022 72 78541 72 79061 16 79078 54 79580 15 79600 51 80099 14 80120 51 80618 13 80640 50 81137 13 81159 50 81657 11 81679 50 82177 9 82198 51 82697 7 82717 51 83217 5 83237 51 83757 50 84276 50 84796 50 85315 51 85835 51 86354 52 86874 51 87394 50 87914 50 88433 51 88953 51 89472 52 89992 52 90512 52 91031 53 91551 52 92071 51 92590 52 93110 51 93630 50 94150 50 94670 50 95189 50 95708 50 96227 51 96746 52 97265 52 97784 52 98303 53 98822 53 99341 53 99860 53 100380 52 100899 53 101418 53 101937 53 102456 54 102975 54 103495 54 104015 53 104535 52 105054 53 105574 53 106093 54 106613 54 107132 55 107652 55 108172 54 108691 55 109210 56 109730 55 110250 54 110770 54 111289 54 111809 54 112328 54 112847 55 113367 54 113887 54 114407 54 114927 54 115446 55 115965 54 116485 53 117004 54 117524 54 118044 53 118563 53 119064 5 119083 54 119579 16 119603 54 120091 26 120122 59 120608 29 120642 58 121124 33 121162 57 121642 34 121681 57 122159 38 122200 58 122677 40 122718 59 123195 101 123714 101 124232 102 124751 103 125269 104 125787 106 126305 107 126824 47 126875 56 127343 44 127395 56 127862 42 127914 56 128382 31 128434 56 128901 29 128954 55 129421 26 129473 56 129941 24 129993 55 130462 20 130514 52 130987 9 131073 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,40601 5 41116 11 41634 13 42152 16 42669 19 43188 19 43707 19 44225 20 44744 20 45263 21 45782 21 46301 21 46819 22 47338 22 47857 22 48375 23 48894 22 49413 22 49931 23 50450 22 50969 21 51488 21 52007 20 52526 20 53045 20 53563 20 54082 19 54602 17 55121 16 55640 16 56161 12 56682 8
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,80574 4 81091 9 81609 12 82126 14 82644 16 83161 18 83678 20 84195 22 84712 24 85230 25 85748 26 86266 26 86784 27 87303 27 87822 27 88341 27 88860 26 89379 25 89898 24 90417 24 90936 23 91456 22 91976 19 92496 17 93015 16 93535 14 94055 11 94578 2
